"","Var1","Var2","Freq"
"168","Noise - Commercial","10033",724
"169","Noise - Street/Sidewalk","10033",1744
"170","Rodent","10033",263
"171","Food Establishment","10034",63
"172","Illegal Parking","10034",649
"173","Noise - Commercial","10034",1165
"174","Noise - Street/Sidewalk","10034",1604
"175","Rodent","10034",273
"176","Food Establishment","10035",74
"177","Illegal Parking","10035",345
"178","Noise - Commercial","10035",219
"179","Noise - Street/Sidewalk","10035",714
"180","Rodent","10035",199
"181","Food Establishment","10036",159
"182","Illegal Parking","10036",638
"183","Noise - Commercial","10036",715
"184","Noise - Street/Sidewalk","10036",611
"185","Rodent","10036",101
"186","Food Establishment","10037",24
"187","Illegal Parking","10037",226
"188","Noise - Commercial","10037",45
"189","Noise - Street/Sidewalk","10037",303
"190","Rodent","10037",75
"191","Food Establishment","10038",71
"192","Illegal Parking","10038",625
"193","Noise - Commercial","10038",180
"194","Noise - Street/Sidewalk","10038",149
"195","Rodent","10038",76
"196","Food Establishment","10039",22
"197","Illegal Parking","10039",181
"198","Noise - Commercial","10039",61
"199","Noise - Street/Sidewalk","10039",843
"200","Rodent","10039",143
"201","Food Establishment","10040",36
"202","Illegal Parking","10040",712
"203","Noise - Commercial","10040",679
"204","Noise - Street/Sidewalk","10040",3084
"205","Rodent","10040",196
"206","Food Establishment","10041",1
"207","Illegal Parking","10041",3
"208","Noise - Commercial","10041",0
"209","Noise - Street/Sidewalk","10041",6
"210","Rodent","10041",0
"211","Food Establishment","10044",5
"212","Illegal Parking","10044",3
"213","Noise - Commercial","10044",1
"214","Noise - Street/Sidewalk","10044",3
"215","Rodent","10044",15
"216","Food Establishment","10045",1
"217","Illegal Parking","10045",0
"218","Noise - Commercial","10045",0
"219","Noise - Street/Sidewalk","10045",0
"220","Rodent","10045",0
"221","Food Establishment","10048",0
"222","Illegal Parking","10048",1
"223","Noise - Commercial","10048",0
"224","Noise - Street/Sidewalk","10048",0
"225","Rodent","10048",0
"226","Food Establishment","10065",70
"227","Illegal Parking","10065",268
"228","Noise - Commercial","10065",93
"229","Noise - Street/Sidewalk","10065",105
"230","Rodent","10065",130
"231","Food Establishment","10069",2
"232","Illegal Parking","10069",36
"233","Noise - Commercial","10069",2
"234","Noise - Street/Sidewalk","10069",10
"235","Rodent","10069",8
"236","Food Establishment","10075",48
"237","Illegal Parking","10075",243
"238","Noise - Commercial","10075",217
"239","Noise - Street/Sidewalk","10075",139
"240","Rodent","10075",85
"241","Food Establishment","10103",1
"242","Illegal Parking","10103",6
"243","Noise - Commercial","10103",0
"244","Noise - Street/Sidewalk","10103",0
"245","Rodent","10103",0
"246","Food Establishment","10105",2
"247","Illegal Parking","10105",1
"248","Noise - Commercial","10105",0
"249","Noise - Street/Sidewalk","10105",0
"250","Rodent","10105",0
"251","Food Establishment","10106",3
"252","Illegal Parking","10106",0
"253","Noise - Commercial","10106",2
"254","Noise - Street/Sidewalk","10106",0
"255","Rodent","10106",0
"256","Food Establishment","10107",0
"257","Illegal Parking","10107",0
"258","Noise - Commercial","10107",0
"259","Noise - Street/Sidewalk","10107",3
"260","Rodent","10107",0
"261","Food Establishment","10110",3
"262","Illegal Parking","10110",0
"263","Noise - Commercial","10110",1
"264","Noise - Street/Sidewalk","10110",1
"265","Rodent","10110",0
"266","Food Establishment","10111",5
"267","Illegal Parking","10111",0
"268","Noise - Commercial","10111",0
"269","Noise - Street/Sidewalk","10111",0
"270","Rodent","10111",1
"271","Food Establishment","10112",3
"272","Illegal Parking","10112",2
"273","Noise - Commercial","10112",2
"274","Noise - Street/Sidewalk","10112",1
"275","Rodent","10112",1
"276","Food Establishment","10115",0
"277","Illegal Parking","10115",1
"278","Noise - Commercial","10115",0
"279","Noise - Street/Sidewalk","10115",0
"280","Rodent","10115",0
"281","Food Establishment","10118",1
"282","Illegal Parking","10118",2
"283","Noise - Commercial","10118",0
"284","Noise - Street/Sidewalk","10118",0
"285","Rodent","10118",2
"286","Food Establishment","10119",5
"287","Illegal Parking","10119",1
"288","Noise - Commercial","10119",0
"289","Noise - Street/Sidewalk","10119",3
"290","Rodent","10119",0
"291","Food Establishment","10120",0
"292","Illegal Parking","10120",5
"293","Noise - Commercial","10120",0
"294","Noise - Street/Sidewalk","10120",0
"295","Rodent","10120",2
"296","Food Establishment","10121",2
"297","Illegal Parking","10121",0
"298","Noise - Commercial","10121",9
"299","Noise - Street/Sidewalk","10121",2
"300","Rodent","10121",0
"301","Food Establishment","10122",0
"302","Illegal Parking","10122",0
"303","Noise - Commercial","10122",0
"304","Noise - Street/Sidewalk","10122",2
"305","Rodent","10122",0
"306","Food Establishment","10123",2
"307","Illegal Parking","10123",0
"308","Noise - Commercial","10123",0
"309","Noise - Street/Sidewalk","10123",1
"310","Rodent","10123",0
"311","Food Establishment","10128",84
"312","Illegal Parking","10128",608
"313","Noise - Commercial","10128",666
"314","Noise - Street/Sidewalk","10128",128
"315","Rodent","10128",211
"316","Food Establishment","10151",0
"317","Illegal Parking","10151",3
"318","Noise - Commercial","10151",0
"319","Noise - Street/Sidewalk","10151",0
"320","Rodent","10151",1
"321","Food Establishment","10152",0
"322","Illegal Parking","10152",1
"323","Noise - Commercial","10152",0
"324","Noise - Street/Sidewalk","10152",0
"325","Rodent","10152",0
"326","Food Establishment","10154",0
"327","Illegal Parking","10154",2
"328","Noise - Commercial","10154",0
"329","Noise - Street/Sidewalk","10154",0
"330","Rodent","10154",0
"331","Food Establishment","10158",0
